 dump            v(D0)           v(D1)           v(D2)           v(D3)           i(v_i_out)      i(v_i_amp)      v(dac_out)      v(q1)          
 1.30305239e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.03905851e-09  1.77522441e-11  2.63191474e-01  2.51573316e-01 
 1.30295292e-01  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.06298073e-07  1.26657129e-10  4.14497777e-01  2.97780091e-01 
 1.30297575e-01  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.51145775e-07  3.39859696e-10  4.28691008e-01  3.22276830e-01 
 1.30291677e-01  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.38047310e-07  1.27514910e-09  4.47247074e-01  3.56753866e-01 
 1.30325306e-01  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  2.43890198e-07  1.36961709e-09  4.48245513e-01  3.58655553e-01 
 1.30322087e-01  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  3.28474918e-07  3.31959793e-09  4.60571472e-01  3.82266703e-01 
 1.30331677e-01  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  3.87999283e-07  5.50469603e-09  4.67520844e-01  3.95837800e-01 
 1.30333251e-01  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  4.75247285e-07  1.03625677e-08  4.76039967e-01  4.13087648e-01 
 1.30489766e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  4.59160260e-07  9.29271149e-09  4.74589198e-01  4.10091316e-01 
 1.30492193e-01  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  5.34873433e-07  1.51543353e-08  4.81033727e-01  4.23620020e-01 
 1.30508761e-01  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  6.00494469e-07  2.22199410e-08  4.85945247e-01  4.34348728e-01 
 1.30517216e-01  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  6.85462852e-07  3.49716935e-08  4.91590502e-01  4.47214902e-01 
 1.30588885e-01  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  7.63542178e-07  5.14062786e-08  4.96215999e-01  4.58260279e-01 
 1.30602278e-01  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  8.42330652e-07  7.41081774e-08  5.00446859e-01  4.68833733e-01 
 1.30642087e-01  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  9.57210147e-07  1.22624018e-07  5.05985680e-01  4.83495366e-01 
 1.30671850e-01  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.07787883e-06  2.03103207e-07  5.11163109e-01  4.98253348e-01 
