 time            i(v_i_out)      i(v_i_amp)      v(dac_out)      v(q1)          
 0.00000000e+00  2.03905851e-09  1.77522441e-11  2.63191474e-01  2.51573316e-01 
 1.00000000e-13  2.03905490e-09  1.78491579e-11  2.63191474e-01  2.51573334e-01 
 2.00000000e-13  2.03905223e-09  1.78436103e-11  2.63191474e-01  2.51573351e-01 
 4.00000000e-13  2.03907177e-09  1.78463867e-11  2.63191474e-01  2.51573384e-01 
 8.00000000e-13  2.03903669e-09  1.78399513e-11  2.63191474e-01  2.51573449e-01 
 1.60000000e-12  2.03906636e-09  1.78456744e-11  2.63191474e-01  2.51573579e-01 
 3.20000000e-12  2.03905702e-09  1.78410846e-11  2.63191474e-01  2.51573832e-01 
 6.40000000e-12  2.03906193e-09  1.78449560e-11  2.63191474e-01  2.51574313e-01 
 1.28000000e-11  2.03904528e-09  1.78409969e-11  2.63191474e-01  2.51575189e-01 
 2.28000000e-11  2.03905674e-09  1.78450522e-11  2.63191474e-01  2.51576360e-01 
 3.28000000e-11  2.03905488e-09  1.78434020e-11  2.63191474e-01  2.51577339e-01 
 4.28000000e-11  2.03905375e-09  1.78449578e-11  2.63191474e-01  2.51578174e-01 
 5.28000000e-11  2.03905189e-09  1.78432599e-11  2.63191474e-01  2.51578903e-01 
 6.28000000e-11  2.03906204e-09  1.78448976e-11  2.63191474e-01  2.51579555e-01 
 7.28000000e-11  2.03904539e-09  1.78434831e-11  2.63191474e-01  2.51580155e-01 
 8.28000000e-11  2.03906260e-09  1.78443540e-11  2.63191474e-01  2.51580721e-01 
 9.28000000e-11  2.03905361e-09  1.78430165e-11  2.63191474e-01  2.51581272e-01 
 1.02800000e-10  2.03905841e-09  1.78446027e-11  2.63191474e-01  2.51581821e-01 
 1.12800000e-10  2.03905436e-09  1.78426681e-11  2.63191474e-01  2.51582383e-01 
 1.22800000e-10  2.03905313e-09  1.78444014e-11  2.63191474e-01  2.51582972e-01 
 1.32800000e-10  2.03904606e-09  1.78426512e-11  2.63191474e-01  2.51583603e-01 
 1.42800000e-10  2.03905602e-09  1.78441415e-11  2.63191474e-01  2.51584289e-01 
 1.52800000e-10  2.03905449e-09  1.78417894e-11  2.63191474e-01  2.51585048e-01 
 1.62800000e-10  2.03906796e-09  1.78432746e-11  2.63191474e-01  2.51585897e-01 
 1.72800000e-10  2.03905849e-09  1.78417991e-11  2.63191474e-01  2.51586858e-01 
 1.82800000e-10  2.03905921e-09  1.78438048e-11  2.63191474e-01  2.51587953e-01 
 1.92800000e-10  2.03905719e-09  1.78420989e-11  2.63191474e-01  2.51589208e-01 
 2.02800000e-10  2.03906474e-09  1.78440027e-11  2.63191474e-01  2.51590655e-01 
 2.12800000e-10  2.03905230e-09  1.78419333e-11  2.63191474e-01  2.51592327e-01 
